ID,MUNICIPALITE,NOM,TYPE,OBJECTID,SHAPE__Area,SHAPE__Length
1506,43027,Parc du Mont-Bellevue,Parc urbain,1,4091157.73828125,11274.1551197314
1508,43027,Parc Central,Parc de quartier,2,773977.92578125,4754.58963774909
1509,43027,Parc Victoria,Parc urbain,3,648382.76953125,3665.91539732488
1510,43027,Parc Réal-D.-Carbonneau,Parc naturel,4,691123.9765625,5908.37141947495
1511,43027,Parc Sylvie-Daigle,Parc urbain,5,408366.0703125,2889.6176182316
1512,43027,Parc Jacques-Cartier,Parc urbain,6,281046.703125,3524.17525284969
1513,43027,Parc Atto-Beaver,Parc de quartier,7,227349.3515625,2191.43033786219
1515,43027,Parc André-Viger,Parc de quartier,8,341057.72265625,3580.77053135465
1516,43027,Parc Walter-Camden,Parc de voisinage,9,197161.5625,2383.03315578417
1517,43027,Parc Belvédère,Parc de quartier,10,159240.3203125,1708.75222872117
1518,43027,Boisé de la Sauvagine,Parc riverain,11,156399.1015625,2595.69454521324
1519,43027,Parc du Marquis-De Montcalm,Parc de quartier,12,148524.22265625,1957.79952223291
1520,43027,Parc du Barrage,Parc riverain,13,329365.6328125,6201.03641683184
1521,43027,Parc Bureau,Parc de quartier,14,127108.5234375,1849.59416997567
1522,43027,Parc de Saint-Alphonse-de-Liguori,Parc de quartier,15,121289.109375,1468.24980996417
1523,43027,Parc du Domaine-Howard,Parc urbain,16,117269.171875,1427.81741447042
1524,43027,Parc de la Kruger,Parc de voisinage,17,110491.37109375,1668.49777518667
1525,43027,Parc Lucien-Blanchard,Parc naturel,18,334359.21875,5313.13105649239
1526,43027,Parc Couturier,Parc de quartier,19,97304.29296875,1583.61196049988
1527,43027,Parc des Jardins-Fleuris,Parc de quartier,20,91388.21875,1557.77633540477
1528,43027,Parc Paul-Marin,Parc de quartier,21,89232.1875,1438.84804387833
1529,43027,Parc du Debonair,Parc de quartier,22,84405.28125,1629.30861274205
1530,43027,Parc Gilles-Charland,Parc de quartier,23,82541.65234375,1374.30693339589
1531,43027,Parc Nault,Parc de quartier,24,76518.203125,1132.22801172761
1532,43027,Parc du Villageois,Parc de quartier,25,71010.80078125,1141.81989562168
1534,43027,Parc du Mi-Vallon,Parc de quartier,26,68524.4375,1449.97890679156
1535,43027,Parc de la Butte-aux-Bouleaux,Parc de voisinage,27,65481.01953125,1109.15117321312
1537,43027,Parc Andrew-Sangster,Parc de quartier,28,62325.5390625,1121.99916534177
1538,43027,Parc du Plateau,Parc de quartier,29,61116.4296875,1191.21438518362
1539,43027,Le Marécage,Parc naturel,30,56656.00390625,1901.02975616613
1540,43027,Parc Olivier-Chauveau,Parc de quartier,31,72397.19140625,1600.37641995026
1542,43027,Parc Ernest-Bergeron,Parc de quartier,32,53542.88671875,1201.57645517025
1543,43027,Parc de la Saint-François,Parc de voisinage,33,50787.171875,3347.71473320153
1544,43027,Parc du Mena'Sen,Parc riverain,34,50606.85546875,1797.1328977908
1545,43027,Parc Antonio-Barrette,Ilot de verdure,35,49711.30078125,1674.1561744929
1546,43027,Boisé du Champ des Buttes,Parc riverain,36,47279.89453125,1219.1298955295
1547,43027,Parc Jules-Richard,Parc de quartier,37,48810.95703125,965.738473238172
1548,43027,Parc Dorilas-Gagnon,Parc de voisinage,38,47710.32421875,1139.63266922727
1549,43027,Parc Antonio-Barrette,Ilot de verdure,39,47200.8515625,1577.5120406237
1550,43027,Parc Hélène-Boullé,Parc de voisinage,40,46876.359375,1264.42219399436
1551,43027,Parc de Marie-Reine-du-Monde,Parc de voisinage,41,45283.5625,940.416069091922
1552,43027,Parc Desranleau,Parc de quartier,42,62102.7890625,1307.40593810309
1553,43027,Parc Jean-Bosco,Parc de voisinage,43,44780.9453125,1144.72318286626
1554,43027,Parc de la Laurentie,Parc de voisinage,44,40480.18359375,786.52806176798
1556,43027,Parc des Quatre-Pins,Parc riverain,45,38909.35546875,1217.19214241418
1557,43027,Boisé du Portage,Parc riverain,46,38868.9609375,1110.95322720436
1558,43027,Île des Soeurs,Réserve naturelle,47,38826.9375,1004.19234129921
1559,43027,Parc de l'Ancien-Réservoir,Parc de voisinage,48,37447.62890625,812.192882514106
1560,43027,Parc Adrien-Cambron,Parc de quartier,49,35440.65625,845.560311336332
1561,43027,Gorge de la Magog,Parc riverain,50,35242.83203125,2139.67308750775
1562,43027,Parc Alfred-Élie-Dufresne,Parc de quartier,51,35139.45703125,895.91824557684
1563,43027,Parc Valère-Patoine,Parc de voisinage,52,34280.94921875,724.268418823267
