Adresse_civique,Arrondissement,Identifiant Standard Montréal-Divulgation-ID bâtiment,Annee_consommation,Superficie,Emissions_GES (tCO₂e),Annee_construction,Electricite (GJ),Gaz_naturel,Mazout ,Eau_refroidie (GJ),Vapeur 
1000 Av. Émile-Journault E,Mercier - Hochelaga-Maisonneuve,C650100653,2023,"53494,05","192,87",1976,"40969,2","3657,3",,,
10125 Rue Parthenais,Ahuntsic - Cartierville,650100654,2023,"3243,00","107,67",1957,"264,1","2117,4",,,
10300 Rue Lajeunesse,Ahuntsic - Cartierville,650100655,2023,"6348,01","81,49",1948,"2064,3","1596,3",,,
1033 Rue Rachel E,Plateau Mont-Royal,650100552,2023,"2313,00","23,97",1990,"2275,5","463,9",,,
1055 Rue Hibernia,Sud-Ouest,650100505,2023,"5227,01","221,29",1960,"4155,1","4339,6",,,
10560 Rue Saint-Hubert,Ahuntsic - Cartierville,650100656,2023,"3796,00","208,36",1970,"3056,4",4089,,,
10851 Av. Saint-Charles,Ahuntsic - Cartierville,650100657,2023,"6209,01","1,02",1986,6027,,,,
11121 Av. Salk,Montréal-Nord,650100167,2023,"3619,00","104,57",1959,"424,3","2055,9",,,
11301 Boul. Acadie,Ahuntsic - Cartierville,650100658,2023,"3443,00","175,16",1971,"3311,1","3434,9",,,
1177 Rue Dupuis,Verdun,650100035,2023,"7902,01","280,23",1990,"3966,9","5499,8",,,
12000 Boul. Rolland,Montréal-Nord,C650100168,2023,"3221,00","230,47",1970,"7030,4","4510,7",,,
12090 Rue Notre-Dame E,RDP - PAT,650100855,2023,"4250,00","5,47",1990,3230,"96,9",,,
1210 Rue Sherbrooke E,Ville-Marie,650100238,2023,"7412,01","102,41",1917,"2637,9",2006,,,
12125 Rue Notre-Dame E,RDP - PAT,650100857,2023,"14179,01","445,63",1914,"6550,8","8745,2",,,
12515 Boul. Rodolphe-Forget,RDP - PAT,650100858,2023,"4781,00","370,73",1990,"4994,3","7276,8",,,
13001 Boul. Cavendish,Saint-Laurent,650100078,2023,"12394,01","502,83",1980,"5786,7","9873,1",,,
1300 Av. Dollard,LaSalle,650100191,2023,"3931,00","40,08",1976,"3026,1","778,3",,,
1301 Rue Sherbrooke E,Plateau Mont-Royal,650100553,2023,"18320,02","292,91",1952,"6374,9","5741,2",,,
130 Ch. Tour-de-l'Isle,Ville-Marie,650100215,2023,"5123,00","447,47",1953,2562,"8782,9",,,
1350 Rue Carrières,Rosemont - Petite-Patrie,C650100722,2023,"22985,02","769,06",1956,"9171,2","15099,4",,,
13555 Boul. Pierrefonds,Pierrefonds - Roxboro,650100845,2023,"4599,00","64,94",2018,"2385,8","1269,6",,,
13665 Boul. Pierrefonds,Pierrefonds - Roxboro,650100846,2023,"2299,00","0,36",1985,"2118,2",,,,
1375 Rue Grenet,Saint-Laurent,650100079,2023,"9105,01","327,63",1993,"4487,3","6430,5",,,
14001 Rue Notre-Dame E,RDP - PAT,650100859,2023,"3416,00","32,49",1998,"1498,2","634,2",,,
140 Ch. Chenal-Le Moyne,Ville-Marie,650100216,2023,"2532,00","30,18",1976,"1746,6","587,9",,,
1411 Rue Lapierre,LaSalle,650100192,2023,"4892,00","265,71",1991,"3709,5",5215,,,
14150 Boul. Gouin,Pierrefonds - Roxboro,650100847,2023,"2429,00","15,35",1988,"1956,2","295,4",,,
14201 Rue Sherbrooke E,RDP - PAT,650100860,2023,"2118,00","70,54",1972,"984,4","1384,4",,,
1441 Rue Saint-Urbain,Ville-Marie,650100224,2023,"14329,01","76,99",1957,"15248,8","1463,7",,,
1455 Rue Bercy,Ville-Marie,650100225,2023,"6765,01","218,14",1960,"4343,2",4277,,,
1501 Rue Bercy,Ville-Marie,650100226,2023,"2888,00","139,61",2001,"2083,9","2739,7",,,
1515 Boul. Tricentenaire,RDP - PAT,650100861,2023,"8701,01","300,28",1972,7961,5881,,,
155 av. Greene,Sud-Ouest,650100504,2023,"24948,02","238,00",1933,"5159,7","4665,1",,,
1600 Rue Drucourt,Rosemont - Petite-Patrie,650100723,2023,"7527,01","245,09",1960,"5846,4","4802,2",,,
160 Ch. Chenal-Le Moyne,Ville-Marie,650100217,2023,"2716,00","0,18",1976,"1065,2",,,,
160 Ch. Tour-de-l'Isle,Ville-Marie,650100218,2023,"5199,01","1,11",1967,"6549,6",,,,
1696 Rue Montcalm,Ville-Marie,650100228,2023,"4162,00","73,97",1981,4146,"1441,4",,,
1800 Boul. Saint-Joseph,Lachine,650100805,2023,"3251,60","71,99",1914,"2039,7","1409,5",,,
1825 Rue Notre-Dame O,Sud-Ouest,650100506,2023,"4841,00","240,90",1997,"2704,2","4730,2",,,
183 Rue Érables,Lachine,650100806,2023,"3344,50","75,64",1976,"482,5","1486,5",,,
1870 Rue Davidson,Mercier - Hochelaga-Maisonneuve,650100603,2023,"3896,00","242,86",1983,"1753,6",4772,,,
1905 Rue Cadillac,Mercier - Hochelaga-Maisonneuve,650100605,2023,"2027,00","64,91",1955,"70,8","1276,8",,,
1925 Rue Saint-Antoine,Lachine,650100807,2023,"4180,60","37,23",1938,"4935,7",716,,,
1 Circt Gilles-Villeneuve,Ville-Marie,650100214,2023,"7482,01","1,39",1967,"4928,2",,,,
2060 Rue Dickson,Mercier - Hochelaga-Maisonneuve,C650100606,2023,"14442,01","664,20",1958,"4489,2",13052,,,
20 Ch. Tour-de-l'Isle,Ville-Marie,650100219,2023,"5062,00","0,63",1823,"3683,9",,,,
2111 Rue Saint-Zotique E,Rosemont - Petite-Patrie,650100725,2023,"3292,00","124,49",1931,"2074,6","2442,3",,,
2140 Av. Madison,CDN - NDG,650100888,2023,"7691,01","405,91",1960,"3252,8","7974,7",,,
2200 Rue Saint-Antoine,Lachine,650100808,2023,"11612,91","241,76",1982,"2502,1","4747,9",,,
2235 Rue Michel-Jurdant,Villeray - Saint-Michel - Parc-Extension,650100767,2023,"3456,00","235,95",2001,"2136,5","4634,7",,,
2269 Rue Viau,Mercier - Hochelaga-Maisonneuve,650100608,2023,"9200,01","1006,06",1948,4852,"19776,5",,,
226 Ch. Chenal-Le Moyne,Ville-Marie,650100221,2023,"4300,00","132,97",2012,"2326,8","2608,2",,,
2275 Boul. Saint-Joseph E,Plateau Mont-Royal,650100554,2023,"6970,01","198,17",1962,"3619,7","3886,5",,,
2345 Boul. Thimens,Saint-Laurent,650100081,2023,"6707,01","258,36",1968,"10718,6","5046,9",,,
2349 Rue Rouen,Ville-Marie,650100229,2023,"3025,00","95,57",1906,"430,3","1878,8",,,
2385 Boul. Thimens,Saint-Laurent,650100082,2023,"13489,01","259,27",2016,"12232,1","5059,9",,,
2450 Rue Workman,Sud-Ouest,650100507,2023,"2045,00","19,42",1904,"1083,3","378,4",,,
2550 Rue Ontario E,Ville-Marie,650100230,2023,"7543,01","103,17",1992,"3314,8","2018,6",,,
2580 Boul. Saint-Joseph,Rosemont - Petite-Patrie,650100726,2023,"9348,01","268,30",1964,"12886,6","5235,2",,,
260 Rue Elgar,Verdun,650100034,2023,"2835,00","5,94",1979,"2594,5","108,2",,,
2633 Rue Ontario E,Ville-Marie,650100231,2023,"7472,01","260,39",1995,3821,"5109,9",,,
2727 Boul. Thimens,Saint-Laurent,650100083,2023,"6500,01","0,79",2012,"4628,5",,,,
275 Rue Notre-Dame E,Ville-Marie,C650100232,2023,"67288,07","891,35",1878,"29981,1","2898,7",,,"12828,4"
2805 Boul. Thimens,Saint-Laurent,650100085,2023,"3523,00","0,68",1986,"3999,6",,,,
2901 Boul. Saint-Joseph,Lachine,650100810,2023,"1765,20","41,66",1862,"927,3","816,4",,,
2980 Rue Viau,Mercier - Hochelaga-Maisonneuve,650100610,2023,"18789,02","281,04",1958,"2909,3",,,1338,"4492,2"
3100 Rue Saint-Antoine,Lachine,650100811,2023,"2487,00","0,34",1984,"1987,4",,,,
3175  rue Remembrance,Lachine,650100812,2023,"2567,00","49,39",1961,"2449,7","963,5",,,
3175 Rue Rouen,Mercier - Hochelaga-Maisonneuve,650100611,2023,"3405,00","98,26",1971,"3978,8","1919,9",,,
330 Rue Saint-Paul E,Ville-Marie,650100237,2023,"16219,02","305,74",1847,"9739,8","5982,4",,,
3400 Boul. Trinitaires,Sud-Ouest,650100508,2023,"4052,00","0,28",1968,"1669,2",,,,
3430 Rue Bellechasse,Rosemont - Petite-Patrie,650100728,2023,"18309,02","107,46",1976,"15320,6","2062,8",,,
3444 Boul. Saint-Joseph E,Rosemont - Petite-Patrie,650100720,2023,"6523,01","0,41",1965,"2423,8",,,,
3535 Av. 36e,RDP - PAT,650100862,2023,"3531,00","75,64",1972,"1711,9","1482,4",,,
3616 Rue Hochelaga,Mercier - Hochelaga-Maisonneuve,650100612,2023,"2923,00","33,40",1931,"1662,1","651,5",,,
3680 Rue Jeanne-Mance,Plateau Mont-Royal,650100555,2023,"4847,00","29,54",1910,"2876,7","571,5",,,
3700 Rue Fleury E,Montréal-Nord,650100165,2023,"3822,00","155,92",1978,"4872,8","3051,2",,,
3755 Rue Botrel,CDN - NDG,650100889,2023,"3224,00","13,18",1912,"2497,5","250,9",,,
3933 Av. Parc-La Fontaine,Plateau Mont-Royal,650100556,2023,"2259,00","62,92",1952,"3151,2","1227,3",,,
400 Av. Ball,Villeray - Saint-Michel - Parc-Extension,650100769,2023,"2077,00","173,54",2005,"1266,9","3409,8",,,
4040 Av. Parc,Ville-Marie,650100233,2023,"2886,00","95,30",1930,"2275,2","1867,3",,,
4040 Rue Sherbrooke E,Mercier - Hochelaga-Maisonneuve,650100622,2023,"2484,00","28,57",1918,"950,7","558,8",,,
4101 rue Sherbrooke,Rosemont - Petite-Patrie,650100742,2023,"42689,04","3499,77",1938,"25102,2","68768,4",,,
4200 Rue Ontario E,Mercier - Hochelaga-Maisonneuve,650100613,2023,"2124,00","0,33",1907,"1933,7",,,,
4243 Rue de Charleroi,Montréal-Nord,650100164,2023,"2999,00","0,46",1916,2715,,,,
4355 Rue Cartier,Plateau Mont-Royal,650100558,2023,"3145,00","79,41",1973,"4435,5","1547,5",,,
4375 Rue Ontario E,Mercier - Hochelaga-Maisonneuve,650100614,2023,"3439,00","76,45",1914,"238,6","1503,3",,,
4398 Boul. LaSalle,Verdun,650100029,2023,"5403,01","116,22",1967,"2571,8","2277,9",,,
4501 Rue Bannantyne,Verdun,650100030,2023,"2788,00","22,08",1984,"1560,4","429,2",,,
4555 Rue Hochelaga,Mercier - Hochelaga-Maisonneuve,650100615,2023,"3688,00","207,74",1963,"5117,3","4069,9",,,
4555 Rue Verdun,Verdun,650100031,2023,"6421,01","118,49",1958,"3142,7","2320,5",,,
4777 Av. Pierre-De Coubertin,Mercier - Hochelaga-Maisonneuve,650100601,2023,"34875,03","10,18",1976,"59899,7",,,,
4880 Av. Horne,CDN - NDG,650100890,2023,"6302,01","327,51",1997,"4118,1","6429,4",,,
4985 Av. West Hill,CDN - NDG,650100891,2023,"3728,00","43,37",1970,"4031,3","839,7",,,
4988 Rue Vézina,CDN - NDG,650100892,2023,"3620,00","67,50",1982,"3800,9","1315,2",,,
5115 Rue Rivard,Plateau Mont-Royal,650100560,2023,"2269,00","71,83",1967,"350,1",1412,,,
5160 Boul. LaSalle,Verdun,650100036,2023,"3067,00","13,53",1972,"3541,9","254,4",,,
523 Pl. Saint-Henri,Sud-Ouest,650100509,2023,"3210,00","82,33",1930,"1109,4",1616,,,
525 Rue Dominion,Sud-Ouest,650100510,2023,"3181,00","87,93",1925,"284,7",1729,,,
