buildingid,buildingName,address,propertyStatus,categoryDescription,buildingProfile,usageName,boroughName,buildingConstrYear,builtArea,buildingArea,buildingOccupencyArea,floorAmount,basementAmount,verticalTransportAmount,postal_prefix,postal_flood_risk,postal_heat_risk,location_fingerprint
1,HÔTEL DE VILLE DE MONTRÉAL,"275 Rue  Notre-Dame E, Montréal",PROPRIÉTAIRE,Bâtiment,Administratif,Espace à bureaux,VILLE-MARIE,1878.0,23379.29,3612.19,20009.0,5.0,2.0,6.0,,0.5,0.5,B:VILLE-MARIE|S:RUE  NOTRE-DAME E
2,EDIFICE GOSFORD COUR MUNICIPALE,"775 Rue  Gosford , Montréal",PROPRIÉTAIRE,Bâtiment,Administratif,Espace à bureaux,VILLE-MARIE,1913.0,25394.6,2969.31,22394.3,8.0,2.0,12.0,,0.5,0.5,B:VILLE-MARIE|S:RUE  GOSFORD
5,MARCHE BONSECOURS,"330 Rue  Saint-Paul E, Montréal",PROPRIÉTAIRE,Bâtiment,Culturel,Local commercial,VILLE-MARIE,1847.0,16221.22,3163.23,11278.82,4.0,3.0,2.0,,0.5,0.5,B:VILLE-MARIE|S:RUE  SAINT-PAUL E
6,VESPASIENNE,"3425 Avenue  Émile-Duployé , Montréal",PROPRIÉTAIRE,Bâtiment vacant,Loisir communautaire,Abri fermé,PLATEAU MONT-ROYAL,1931.0,147.55,73.99,116.97,1.0,1.0,0.0,,0.5,0.5,B:PLATEAU-MONT-ROYAL
12,ÉDIFICE LUCIEN-SAULNIER,"155 Rue  Notre-Dame E, Montréal",PROPRIÉTAIRE,Bâtiment,Administratif,Espace à bureaux,VILLE-MARIE,1857.0,14218.37,2922.54,12593.18,6.0,1.0,4.0,,0.5,0.5,B:VILLE-MARIE|S:RUE  NOTRE-DAME E
13,VESPASIENNE (EX) PLACE D'ARMES,"504 Place d' Armes , Montréal",PROPRIÉTAIRE,Bâtiment,Commercial,Marché public,VILLE-MARIE,1981.0,9.0,,9.0,,1.0,0.0,,0.5,0.5,B:VILLE-MARIE|S:PLACE D' ARMES
18,PAVILLON DES BAIGNEURS DON-BOSCO,"12600 Avenue  Rita-Levi-Montalcini , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Pavillon des baigneurs,R-D-P / P-A-T,1974.0,782.6,391.7,729.39,1.0,1.0,0.0,,0.5,0.5,B:R-D-P / P-A-T|S:AVENUE  RITA-LEVI-MO
19,THÉÂTRE EMPRESS (CINÉMA V),"5550 Rue  Sherbrooke O, Montréal",PROPRIÉTAIRE,Bâtiment vacant,Culturel,Théâtre,COTE-DES-NEIGES / N-D-DE-GRACE,1928.0,5852.89,1.0,2909.02,1.0,,,,0.5,0.5,B:COTE-DES-NEIGES / N-D-DE-GRACE|S:RUE  SHERBROOKE O
21,MUSÉE POINTE-À-CALLIÈRE-MAISON DOUANE,"150 Rue  Saint-Paul O, Montréal",PROPRIÉTAIRE,Bâtiment,Culturel,Lieu d'exposition,VILLE-MARIE,1838.0,1771.01,434.6,1490.74,2.0,2.0,,,0.5,0.5,B:VILLE-MARIE|S:RUE  SAINT-PAUL O
23,CHALET DU PARC ST-GABRIEL (PATAUG.),"2355 Rue  Mullins , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Pavillon des baigneurs,SUD-OUEST,1976.0,176.8,131.78,153.46,1.0,1.0,0.0,,0.5,0.5,B:SUD-OUEST|S:RUE  MULLINS
24,CENTRE COMMUNAUTAIRE OGILVY,"821 Avenue  Ogilvy , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Centre communautaire et loisir,VILLERAY/ST-MICHEL/PARC-EXTENS,1910.0,544.36,268.84,392.0,1.0,1.0,0.0,,0.5,0.5,B:VILLERAY-SAINT-MICHEL-PARC-EXTENSION|S:AVENUE  OGILVY
25,ÉDIFICE DU 200 BELLECHASSE,"200 Rue de Bellechasse , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Caserne de pompiers,ROSEMONT / PETITE-PATRIE,1929.0,16057.41,10096.31,15577.4,3.0,1.0,2.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE|S:RUE DE BELLECHASSE
28,CHALET DU PARC JEAN-AMYOT (PATAUG.),"6110 Rue de Marseille , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Centre communautaire et loisir,MERCIER/HOCHELAGA/ MAISONNEUVE,1976.0,916.81,324.42,823.0,2.0,1.0,0.0,,0.5,0.5,B:MERCIER-HOCHELAGA-MAISONNEUVE|S:RUE DE MARSEILLE
