buildingid,buildingName,address,propertyStatus,categoryDescription,buildingProfile,usageName,boroughName,buildingConstrYear,builtArea,buildingArea,buildingOccupencyArea,floorAmount,basementAmount,verticalTransportAmount,postal_prefix,postal_flood_risk,postal_heat_risk,priority_score,priority_level,score_age_risk,score_size_impact,score_energy_risk,score_climate_risk,score_social_vulnerability,score_floor_count_norm,score_has_basement,estimated_ges_reduction,building_age,age_category
1,HÔTEL DE VILLE DE MONTRÉAL,"275 Rue  Notre-Dame E, Montréal",PROPRIÉTAIRE,Bâtiment,Administratif,Espace à bureaux,VILLE-MARIE,1878.0,23379.29,3612.19,20009.0,5.0,2.0,6.0,,0.5,0.5,67.70534035812582,High,1.0,0.5929817999320617,0.5982454499830154,0.5,0.5,0.5,1,54.02440579935372,146.0,> 100 ans
2,EDIFICE GOSFORD COUR MUNICIPALE,"775 Rue  Gosford , Montréal",PROPRIÉTAIRE,Bâtiment,Administratif,Espace à bureaux,VILLE-MARIE,1913.0,25394.6,2969.31,22394.3,8.0,2.0,12.0,,0.5,0.5,72.68090332614238,High,1.0,0.5788002962253528,0.6447000740563382,0.5,0.5,0.8,1,47.857859422405646,111.0,> 100 ans
5,MARCHE BONSECOURS,"330 Rue  Saint-Paul E, Montréal",PROPRIÉTAIRE,Bâtiment,Culturel,Local commercial,VILLE-MARIE,1847.0,16221.22,3163.23,11278.82,4.0,3.0,2.0,,0.5,0.5,67.14853410921975,High,1.0,0.5833780072929191,0.5958445018232298,0.5,0.5,0.4,1,47.11983008755738,177.0,> 100 ans
6,VESPASIENNE,"3425 Avenue  Émile-Duployé , Montréal",PROPRIÉTAIRE,Bâtiment vacant,Loisir communautaire,Abri fermé,PLATEAU MONT-ROYAL,1931.0,147.55,73.99,116.97,1.0,1.0,0.0,,0.5,0.5,45.6458956637282,Medium,1.0,0.31250055893334017,0.47812513973333504,0.5,0.5,0.1,1,0.8844119772217365,93.0,60-100 ans
12,ÉDIFICE LUCIEN-SAULNIER,"155 Rue  Notre-Dame E, Montréal",PROPRIÉTAIRE,Bâtiment,Administratif,Espace à bureaux,VILLE-MARIE,1857.0,14218.37,2922.54,12593.18,6.0,1.0,4.0,,0.5,0.5,72.61429909947759,High,1.0,0.5776515067082882,0.644412876677072,0.5,0.5,0.6000000000000001,1,47.08306021509525,167.0,> 100 ans
13,VESPASIENNE (EX) PLACE D'ARMES,"504 Place d' Armes , Montréal",PROPRIÉTAIRE,Bâtiment,Commercial,Marché public,VILLE-MARIE,1981.0,9.0,,9.0,,1.0,0.0,,0.5,0.5,36.86867673229321,Low,0.6,0.5,0.35555555555555557,0.5,0.5,0.1,1,0.047999999999999994,43.0,40-60 ans
18,PAVILLON DES BAIGNEURS DON-BOSCO,"12600 Avenue  Rita-Levi-Montalcini , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Pavillon des baigneurs,R-D-P / P-A-T,1974.0,782.6,391.7,729.39,1.0,1.0,0.0,,0.5,0.5,46.79634370394848,Medium,0.8,0.4323434835450697,0.45808587088626745,0.5,0.5,0.1,1,3.588644712523019,50.0,40-60 ans
19,THÉÂTRE EMPRESS (CINÉMA V),"5550 Rue  Sherbrooke O, Montréal",PROPRIÉTAIRE,Bâtiment vacant,Culturel,Théâtre,COTE-DES-NEIGES / N-D-DE-GRACE,1928.0,5852.89,1.0,2909.02,1.0,,,,0.5,0.5,30.436657774755872,Low,1.0,0.050171665943996864,0.4125429164859992,0.5,0.5,0.1,0,0.01031357291214998,96.0,60-100 ans
21,MUSÉE POINTE-À-CALLIÈRE-MAISON DOUANE,"150 Rue  Saint-Paul O, Montréal",PROPRIÉTAIRE,Bâtiment,Culturel,Lieu d'exposition,VILLE-MARIE,1838.0,1771.01,434.6,1490.74,2.0,2.0,,,0.5,0.5,53.02921199185772,Medium,1.0,0.43984797851395624,0.509961994628489,0.5,0.5,0.2,1,5.540737071638533,186.0,> 100 ans
23,CHALET DU PARC ST-GABRIEL (PATAUG.),"2355 Rue  Mullins , Montréal",PROPRIÉTAIRE,Bâtiment,Sportif,Pavillon des baigneurs,SUD-OUEST,1976.0,176.8,131.78,153.46,1.0,1.0,0.0,,0.5,0.5,48.04355868311811,Medium,0.6,0.3538554440518169,0.3884638610129542,0.5,0.7,0.1,1,0.7678765140643067,48.0,40-60 ans
